Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,40.0,35.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5
35.0,37.5,35.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
36.0,38.0,36.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
36.25,38.75,36.25,38.75,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
36.25,38.0,36.25,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75
35.0,37.0,35.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5
38.0,39.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-4.0
34.0,34.0,30.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0
33.0,35.0,33.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
35.0,36.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34.0,35.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34.0,36.0,34.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
35.0,36.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33.0,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
34.0,35.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34.0,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
34.0,35.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33.5,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5
34.0,35.0,34.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
36.0,42.5,36.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5
37.0,41.25,37.0,41.25,0.0,0.0,0.0,0.0,0.0,0.0,4.25,4.25
41.25,43.75,40.5,40.5,0.0,0.0,0.0,0.0,0.0,0.0,3.25,-0.75
41.25,43.75,38.75,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.25
40.0,42.5,40.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
40.0,42.5,40.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
40.0,42.5,40.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
37.5,40.0,37.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
37.5,40.0,37.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
35.0,40.0,35.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5
37.5,40.0,37.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
37.5,40.0,37.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
37.5,40.0,37.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
37.5,40.0,36.25,36.25,0.0,0.0,0.0,0.0,0.0,0.0,3.75,-1.25
37.5,38.75,36.25,38.75,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.25
37.5,38.75,37.5,38.75,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25
36.25,37.5,36.25,36.25,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0
33.75,36.25,33.75,36.25,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
35.0,37.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
33.75,36.25,33.75,36.25,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
35.0,35.0,32.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
34.0,36.0,34.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
35.0,37.5,35.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
35.0,40.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
38.0,40.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
37.0,39.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
37.0,39.0,37.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
37.0,39.0,37.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
38.0,40.0,38.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
37.0,39.0,37.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
39.0,41.0,38.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
39.0,42.5,38.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
38.0,40.0,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
38.0,40.0,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
38.0,40.0,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
38.0,40.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
36.0,38.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
35.0,37.0,35.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5
37.0,37.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
37.0,37.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
37.0,37.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
